invoice;salesDate;qty;discounted;Customer_ID;Product_ID;SALES
18;13/05/10;117;0;34; 1;19305.0
161;19/01/08;191;0;34; 1;31515.0
172;26/06/06;14;0;26; 1;2310.0
331;07/05/07;36;0;34; 1;5940.0
525;24/09/09;40;0;1; 1;6600.0
550;19/03/09;55;0;40; 1;9075.0
592;09/10/07;10;0;9; 1;1650.0
616;02/01/09;81;0;33; 1;13365.0
632;19/02/07;43;0;7; 1;7095.0
858;25/04/10;64;0;6; 1;10560.0
882;18/09/09;116;0;30; 1;19140.0
1210;08/12/08;137;0;2; 1;22605.0
1211;08/04/07;24;0;11; 1;3960.0
1220;08/12/07;143;0;2; 1;23595.0
1253;10/05/10;30;0;30; 1;4950.0
1291;05/05/07;109;0;10; 1;17985.0
1309;09/01/08;159;0;14; 1;26235.0
1316;09/01/05;168;0;14; 1;27720.0
1370;30/09/06;186;0;38; 1;30690.0
1464;30/05/08;157;0;16; 1;25905.0
1483;15/08/08;161;0;16; 1;26565.0
1513;01/08/10;173;0;1; 1;28545.0
1522;01/01/06;130;0;18; 1;21450.0
1566;29/12/05;11;0;17; 1;1815.0
1610;28/08/07;65;0;38; 1;10725.0
1626;06/06/07;113;0;22; 1;18645.0
1744;29/01/08;64;0;28; 1;10560.0
1870;29/07/05;112;0;19; 1;18480.0
1947;28/06/06;11;0;9; 1;1815.0
2167;04/11/08;66;0;21; 1;10890.0
2188;18/07/10;17;0;34; 1;2805.0
2210;30/04/09;124;0;20; 1;20460.0
2256;31/12/05;109;0;11; 1;17985.0
2335;13/05/09;50;0;40; 1;8250.0
2404;11/07/07;135;0;7; 1;22275.0
2413;10/05/10;40;0;9; 1;6600.0
2463;18/06/10;83;0;26; 1;13695.0
2482;01/11/05;187;0;7; 1;30855.0
2489;22/02/09;102;0;26; 1;16830.0
2567;05/05/09;143;0;12; 1;23595.0
2699;01/08/08;57;0;16; 1;9405.0
2840;20/03/10;45;0;29; 1;7425.0
2886;13/11/05;101;0;5; 1;16665.0
3211;26/05/08;118;0;29; 1;19470.0
3219;21/01/10;89;0;7; 1;14685.0
3234;06/03/05;27;0;36; 1;4455.0
3332;03/04/07;189;0;14; 1;31185.0
3409;27/05/10;168;0;40; 1;27720.0
3438;25/06/06;64;0;2; 1;10560.0
3593;12/02/09;28;0;15; 1;4620.0
3654;22/06/10;129;0;19; 1;21285.0
3726;01/09/06;73;0;16; 1;12045.0
3772;31/05/06;33;0;22; 1;5445.0
3824;01/03/08;104;0;8; 1;17160.0
3866;27/08/08;108;0;15; 1;17820.0
3965;16/10/05;107;0;7; 1;17655.0
4132;26/05/09;38;0;26; 1;6270.0
4170;26/02/08;36;0;37; 1;5940.0
4172;05/03/10;57;0;13; 1;9405.0
4232;05/08/10;84;0;12; 1;13860.0
4235;24/08/09;13;0;28; 1;2145.0
4340;10/08/09;168;0;5; 1;27720.0
4406;23/03/10;138;0;19; 1;22770.0
4415;23/02/07;182;0;37; 1;30030.0
4430;14/04/05;25;0;35; 1;4125.0
4721;10/08/05;45;0;9; 1;7425.0
4983;14/08/05;27;0;35; 1;4455.0
5161;18/01/09;56;0;28; 1;9240.0
5221;25/12/06;196;0;38; 1;32340.0
5232;07/09/09;32;0;32; 1;5280.0
5319;02/06/07;180;0;1; 1;29700.0
5488;23/09/09;199;0;19; 1;32835.0
5669;17/03/09;119;0;2; 1;19635.0
5677;12/05/10;179;0;18; 1;29535.0
5711;23/09/06;105;0;35; 1;17325.0
5725;22/05/08;115;0;15; 1;18975.0
5880;19/02/07;195;0;4; 1;32175.0
6278;01/03/09;137;0;16; 1;22605.0
6286;24/05/10;97;0;22; 1;16005.0
6351;17/03/10;138;0;17; 1;22770.0
6410;29/09/10;111;0;22; 1;18315.0
6463;05/03/07;57;0;39; 1;9405.0
6480;16/07/05;70;0;40; 1;11550.0
6572;16/03/10;85;0;29; 1;14025.0
6698;03/03/06;116;0;24; 1;19140.0
6758;20/01/07;136;0;9; 1;22440.0
6797;05/05/06;177;0;18; 1;29205.0
6814;12/06/06;20;0;25; 1;3300.0
6829;08/09/10;32;0;32; 1;5280.0
6923;26/06/06;160;0;36; 1;26400.0
7092;02/03/09;43;0;19; 1;7095.0
7112;06/12/09;30;0;32; 1;4950.0
7182;06/02/08;139;0;27; 1;22935.0
7194;31/01/05;42;0;33; 1;6930.0
7293;06/03/09;152;0;7; 1;25080.0
7299;25/02/09;29;0;26; 1;4785.0
7418;15/02/10;147;0;16; 1;24255.0
7440;12/06/08;55;0;16; 1;9075.0
7471;21/07/09;57;0;17; 1;9405.0
7543;11/04/10;187;0;35; 1;30855.0
7707;15/09/09;34;0;30; 1;5610.0
7987;15/08/09;147;0;13; 1;24255.0
8012;27/05/06;200;0;2; 1;33000.0
8132;16/08/08;171;0;31; 1;28215.0
8207;14/07/05;79;0;4; 1;13035.0
8240;15/05/07;198;0;24; 1;32670.0
8244;27/07/05;198;0;13; 1;32670.0
8289;21/03/07;186;0;28; 1;30690.0
8293;10/11/08;91;0;38; 1;15015.0
8296;09/01/10;19;0;34; 1;3135.0
8358;13/10/08;63;0;34; 1;10395.0
8367;14/03/09;177;0;5; 1;29205.0
8560;12/10/08;57;0;32; 1;9405.0
8607;10/04/08;43;0;39; 1;7095.0
8702;27/06/06;112;0;15; 1;18480.0
8806;03/01/10;74;0;11; 1;12210.0
8861;26/07/08;122;0;26; 1;20130.0
8893;21/11/09;106;0;1; 1;17490.0
8985;22/11/06;196;0;16; 1;32340.0
9081;20/05/06;182;0;19; 1;30030.0
9109;18/09/06;33;0;12; 1;5445.0
9192;15/07/06;90;0;35; 1;14850.0
9222;13/09/10;177;0;39; 1;29205.0
9321;02/03/10;127;0;34; 1;20955.0
9523;26/03/07;159;0;3; 1;26235.0
9680;29/05/10;140;0;4; 1;23100.0
9733;08/08/08;30;0;6; 1;4950.0
9735;10/06/10;178;0;11; 1;29370.0
9768;10/12/08;20;0;4; 1;3300.0
9792;01/04/09;31;0;2; 1;5115.0
9866;08/11/06;10;0;7; 1;1650.0
9924;29/06/07;20;0;4; 1;3300.0
9955;16/10/06;149;0;37; 1;24585.0
10144;11/08/10;158;0;32; 1;26070.0
10260;25/06/10;47;0;8; 1;7755.0
10294;15/12/09;130;0;12; 1;21450.0
10475;09/01/07;116;0;12; 1;19140.0
10479;05/02/09;39;0;40; 1;6435.0
10509;13/10/08;158;0;39; 1;26070.0
10593;21/01/07;130;0;33; 1;21450.0
10746;12/06/08;45;0;29; 1;7425.0
10868;24/08/06;134;0;6; 1;22110.0
11001;25/04/09;21;0;24; 1;3465.0
11142;17/06/06;155;0;25; 1;25575.0
11212;25/03/09;114;0;38; 1;18810.0
11262;05/04/05;18;0;11; 1;2970.0
11310;20/05/08;22;0;20; 1;3630.0
11344;25/10/09;58;0;16; 1;9570.0
11441;18/09/08;141;0;19; 1;23265.0
11589;04/08/05;113;0;16; 1;18645.0
11866;17/04/09;199;0;29; 1;32835.0
11873;05/02/09;136;0;26; 1;22440.0
11998;21/09/08;19;0;28; 1;3135.0
