"Order_Date_SK";"Fiscal_Year";"Fiscal_Quarter";"Fiscal_Month";"Fiscal_Week";"Fiscal_Day";"Calendar_Year";"Calendar_Quarter";"Calendar_Month";"Calendar_Week";"Calendar_Day";"Order_Date"
-1;0;0;0;0;0;0;0;0;0;0;""
1;2005;3;8;14;2;2004;4;12;49;2;"2004-12-02 00:00:00"
2;2005;3;8;14;4;2004;4;12;49;4;"2004-12-04 00:00:00"
3;2005;3;8;15;5;2004;4;12;50;5;"2004-12-05 00:00:00"
4;2005;3;8;15;6;2004;4;12;50;6;"2004-12-06 00:00:00"
5;2005;3;8;15;7;2004;4;12;50;7;"2004-12-07 00:00:00"
6;2005;3;8;15;8;2004;4;12;50;8;"2004-12-08 00:00:00"
7;2005;3;8;15;9;2004;4;12;50;9;"2004-12-09 00:00:00"
8;2005;3;8;15;10;2004;4;12;50;10;"2004-12-10 00:00:00"
9;2005;3;8;15;11;2004;4;12;50;11;"2004-12-11 00:00:00"
10;2005;3;8;16;12;2004;4;12;51;12;"2004-12-12 00:00:00"
11;2005;3;8;16;13;2004;4;12;51;13;"2004-12-13 00:00:00"
12;2005;3;8;16;14;2004;4;12;51;14;"2004-12-14 00:00:00"
13;2005;3;8;16;15;2004;4;12;51;15;"2004-12-15 00:00:00"
14;2005;3;8;16;16;2004;4;12;51;16;"2004-12-16 00:00:00"
15;2005;3;8;16;17;2004;4;12;51;17;"2004-12-17 00:00:00"
16;2005;3;8;16;18;2004;4;12;51;18;"2004-12-18 00:00:00"
17;2005;3;8;17;19;2004;4;12;52;19;"2004-12-19 00:00:00"
18;2005;3;8;17;20;2004;4;12;52;20;"2004-12-20 00:00:00"
19;2005;3;8;17;21;2004;4;12;52;21;"2004-12-21 00:00:00"
20;2005;3;8;17;22;2004;4;12;52;22;"2004-12-22 00:00:00"
21;2005;3;8;17;23;2004;4;12;52;23;"2004-12-23 00:00:00"
22;2005;3;8;17;24;2004;4;12;52;24;"2004-12-24 00:00:00"
23;2005;3;8;17;25;2004;4;12;52;25;"2004-12-25 00:00:00"
24;2005;3;8;18;26;2004;4;12;1;26;"2004-12-26 00:00:00"
25;2005;3;8;18;27;2004;4;12;1;27;"2004-12-27 00:00:00"
26;2005;3;8;18;28;2004;4;12;1;28;"2004-12-28 00:00:00"
27;2005;3;8;18;29;2004;4;12;1;29;"2004-12-29 00:00:00"
28;2005;3;8;18;30;2004;4;12;1;30;"2004-12-30 00:00:00"
29;2005;3;8;18;31;2004;4;12;1;31;"2004-12-31 00:00:00"
30;2005;3;9;18;1;2005;1;1;1;1;"2005-01-01 00:00:00"
31;2005;3;9;19;2;2005;1;1;2;2;"2005-01-02 00:00:00"
32;2005;3;9;19;3;2005;1;1;2;3;"2005-01-03 00:00:00"
33;2005;3;9;19;4;2005;1;1;2;4;"2005-01-04 00:00:00"
34;2005;3;9;19;5;2005;1;1;2;5;"2005-01-05 00:00:00"
35;2005;3;9;19;6;2005;1;1;2;6;"2005-01-06 00:00:00"
36;2005;3;9;19;7;2005;1;1;2;7;"2005-01-07 00:00:00"
37;2005;3;9;19;8;2005;1;1;2;8;"2005-01-08 00:00:00"
38;2005;3;9;20;9;2005;1;1;3;9;"2005-01-09 00:00:00"
39;2005;3;9;20;10;2005;1;1;3;10;"2005-01-10 00:00:00"
40;2005;3;9;20;11;2005;1;1;3;11;"2005-01-11 00:00:00"
41;2005;3;9;20;12;2005;1;1;3;12;"2005-01-12 00:00:00"
42;2005;3;9;20;13;2005;1;1;3;13;"2005-01-13 00:00:00"
43;2005;3;9;20;14;2005;1;1;3;14;"2005-01-14 00:00:00"
44;2005;3;9;20;15;2005;1;1;3;15;"2005-01-15 00:00:00"
45;2005;3;9;21;16;2005;1;1;4;16;"2005-01-16 00:00:00"
46;2005;3;9;21;17;2005;1;1;4;17;"2005-01-17 00:00:00"
47;2005;3;9;21;18;2005;1;1;4;18;"2005-01-18 00:00:00"
48;2005;3;9;21;19;2005;1;1;4;19;"2005-01-19 00:00:00"
49;2005;3;9;21;20;2005;1;1;4;20;"2005-01-20 00:00:00"
50;2005;3;9;21;21;2005;1;1;4;21;"2005-01-21 00:00:00"
51;2005;3;9;21;22;2005;1;1;4;22;"2005-01-22 00:00:00"
52;2005;3;9;22;23;2005;1;1;5;23;"2005-01-23 00:00:00"
53;2005;3;9;22;24;2005;1;1;5;24;"2005-01-24 00:00:00"
54;2005;3;9;22;25;2005;1;1;5;25;"2005-01-25 00:00:00"
55;2005;3;9;22;26;2005;1;1;5;26;"2005-01-26 00:00:00"
56;2005;3;9;22;27;2005;1;1;5;27;"2005-01-27 00:00:00"
57;2005;3;9;22;28;2005;1;1;5;28;"2005-01-28 00:00:00"
58;2005;3;9;22;29;2005;1;1;5;29;"2005-01-29 00:00:00"
59;2005;3;9;23;30;2005;1;1;6;30;"2005-01-30 00:00:00"
60;2005;3;9;23;31;2005;1;1;6;31;"2005-01-31 00:00:00"
61;2005;4;10;23;1;2005;1;2;6;1;"2005-02-01 00:00:00"
62;2005;4;10;23;2;2005;1;2;6;2;"2005-02-02 00:00:00"
63;2005;4;10;23;3;2005;1;2;6;3;"2005-02-03 00:00:00"
64;2005;4;10;23;4;2005;1;2;6;4;"2005-02-04 00:00:00"
65;2005;4;10;23;5;2005;1;2;6;5;"2005-02-05 00:00:00"
66;2005;4;10;24;6;2005;1;2;7;6;"2005-02-06 00:00:00"
67;2005;4;10;24;7;2005;1;2;7;7;"2005-02-07 00:00:00"
68;2005;4;10;24;8;2005;1;2;7;8;"2005-02-08 00:00:00"
69;2005;4;10;24;9;2005;1;2;7;9;"2005-02-09 00:00:00"
70;2005;4;10;24;10;2005;1;2;7;10;"2005-02-10 00:00:00"
71;2005;4;10;24;11;2005;1;2;7;11;"2005-02-11 00:00:00"
72;2005;4;10;24;12;2005;1;2;7;12;"2005-02-12 00:00:00"
73;2005;4;10;25;13;2005;1;2;8;13;"2005-02-13 00:00:00"
74;2005;4;10;25;14;2005;1;2;8;14;"2005-02-14 00:00:00"
75;2005;4;10;25;15;2005;1;2;8;15;"2005-02-15 00:00:00"
76;2005;4;10;25;16;2005;1;2;8;16;"2005-02-16 00:00:00"
77;2005;4;10;25;17;2005;1;2;8;17;"2005-02-17 00:00:00"
78;2005;4;10;25;18;2005;1;2;8;18;"2005-02-18 00:00:00"
79;2005;4;10;25;19;2005;1;2;8;19;"2005-02-19 00:00:00"
80;2005;4;10;26;20;2005;1;2;9;20;"2005-02-20 00:00:00"
81;2005;4;10;26;21;2005;1;2;9;21;"2005-02-21 00:00:00"
82;2005;4;10;26;22;2005;1;2;9;22;"2005-02-22 00:00:00"
83;2005;4;10;26;23;2005;1;2;9;23;"2005-02-23 00:00:00"
84;2005;4;10;26;24;2005;1;2;9;24;"2005-02-24 00:00:00"
85;2005;4;10;26;25;2005;1;2;9;25;"2005-02-25 00:00:00"
86;2005;4;10;26;26;2005;1;2;9;26;"2005-02-26 00:00:00"
87;2005;4;10;27;27;2005;1;2;10;27;"2005-02-27 00:00:00"
88;2005;4;10;27;28;2005;1;2;10;28;"2005-02-28 00:00:00"
89;2005;4;11;27;1;2005;1;3;10;1;"2005-03-01 00:00:00"
90;2005;4;11;27;2;2005;1;3;10;2;"2005-03-02 00:00:00"
91;2005;4;11;27;3;2005;1;3;10;3;"2005-03-03 00:00:00"
92;2005;4;11;27;4;2005;1;3;10;4;"2005-03-04 00:00:00"
93;2005;4;11;27;5;2005;1;3;10;5;"2005-03-05 00:00:00"
94;2005;4;11;28;6;2005;1;3;11;6;"2005-03-06 00:00:00"
95;2005;4;11;28;7;2005;1;3;11;7;"2005-03-07 00:00:00"
96;2005;4;11;28;8;2005;1;3;11;8;"2005-03-08 00:00:00"
97;2005;4;11;28;9;2005;1;3;11;9;"2005-03-09 00:00:00"
98;2005;4;11;28;10;2005;1;3;11;10;"2005-03-10 00:00:00"
99;2005;4;11;28;11;2005;1;3;11;11;"2005-03-11 00:00:00"
100;2005;4;11;28;12;2005;1;3;11;12;"2005-03-12 00:00:00"
101;2005;4;11;29;13;2005;1;3;12;13;"2005-03-13 00:00:00"
102;2005;4;11;29;14;2005;1;3;12;14;"2005-03-14 00:00:00"
103;2005;4;11;29;15;2005;1;3;12;15;"2005-03-15 00:00:00"
104;2005;4;11;29;16;2005;1;3;12;16;"2005-03-16 00:00:00"
105;2005;4;11;29;17;2005;1;3;12;17;"2005-03-17 00:00:00"
106;2005;4;11;29;18;2005;1;3;12;18;"2005-03-18 00:00:00"
107;2005;4;11;29;19;2005;1;3;12;19;"2005-03-19 00:00:00"
108;2005;4;11;30;20;2005;1;3;13;20;"2005-03-20 00:00:00"
109;2005;4;11;30;21;2005;1;3;13;21;"2005-03-21 00:00:00"
110;2005;4;11;30;22;2005;1;3;13;22;"2005-03-22 00:00:00"
111;2005;4;11;30;23;2005;1;3;13;23;"2005-03-23 00:00:00"
112;2005;4;11;30;24;2005;1;3;13;24;"2005-03-24 00:00:00"
113;2005;4;11;30;25;2005;1;3;13;25;"2005-03-25 00:00:00"
114;2005;4;11;30;26;2005;1;3;13;26;"2005-03-26 00:00:00"
115;2005;4;11;31;27;2005;1;3;14;27;"2005-03-27 00:00:00"
116;2005;4;11;31;28;2005;1;3;14;28;"2005-03-28 00:00:00"
117;2005;4;11;31;29;2005;1;3;14;29;"2005-03-29 00:00:00"
118;2005;4;11;31;30;2005;1;3;14;30;"2005-03-30 00:00:00"
119;2005;4;11;31;31;2005;1;3;14;31;"2005-03-31 00:00:00"
120;2005;4;12;31;1;2005;2;4;14;1;"2005-04-01 00:00:00"
