"Sales_Date_SK";"Fiscal_Year";"Fiscal_Quarter";"Fiscal_Month";"Fiscal_Week";"Fiscal_Day";"Calendar_Year";"Calendar_Quarter";"Calendar_Month";"Calendar_Week";"Calendar_Day";"Sales_Date"
-1;0;0;0;0;0;0;0;0;0;0;""
1;2005;1;1;1;1;2005;1;1;1;1;"2005-01-01 00:00:00"
2;2005;1;1;2;2;2005;1;1;2;2;"2005-01-02 00:00:00"
3;2005;1;1;2;3;2005;1;1;2;3;"2005-01-03 00:00:00"
4;2005;1;1;2;4;2005;1;1;2;4;"2005-01-04 00:00:00"
5;2005;1;1;2;5;2005;1;1;2;5;"2005-01-05 00:00:00"
6;2005;1;1;2;6;2005;1;1;2;6;"2005-01-06 00:00:00"
7;2005;1;1;2;7;2005;1;1;2;7;"2005-01-07 00:00:00"
8;2005;1;1;2;8;2005;1;1;2;8;"2005-01-08 00:00:00"
9;2005;1;1;3;9;2005;1;1;3;9;"2005-01-09 00:00:00"
10;2005;1;1;3;10;2005;1;1;3;10;"2005-01-10 00:00:00"
11;2005;1;1;3;11;2005;1;1;3;11;"2005-01-11 00:00:00"
12;2005;1;1;3;12;2005;1;1;3;12;"2005-01-12 00:00:00"
13;2005;1;1;3;13;2005;1;1;3;13;"2005-01-13 00:00:00"
14;2005;1;1;3;14;2005;1;1;3;14;"2005-01-14 00:00:00"
15;2005;1;1;3;15;2005;1;1;3;15;"2005-01-15 00:00:00"
16;2005;1;1;4;16;2005;1;1;4;16;"2005-01-16 00:00:00"
17;2005;1;1;4;17;2005;1;1;4;17;"2005-01-17 00:00:00"
18;2005;1;1;4;18;2005;1;1;4;18;"2005-01-18 00:00:00"
19;2005;1;1;4;19;2005;1;1;4;19;"2005-01-19 00:00:00"
20;2005;1;1;4;20;2005;1;1;4;20;"2005-01-20 00:00:00"
21;2005;1;1;4;21;2005;1;1;4;21;"2005-01-21 00:00:00"
22;2005;1;1;4;22;2005;1;1;4;22;"2005-01-22 00:00:00"
23;2005;1;1;5;23;2005;1;1;5;23;"2005-01-23 00:00:00"
24;2005;1;1;5;24;2005;1;1;5;24;"2005-01-24 00:00:00"
25;2005;1;1;5;25;2005;1;1;5;25;"2005-01-25 00:00:00"
26;2005;1;1;5;26;2005;1;1;5;26;"2005-01-26 00:00:00"
27;2005;1;1;5;27;2005;1;1;5;27;"2005-01-27 00:00:00"
28;2005;1;1;5;28;2005;1;1;5;28;"2005-01-28 00:00:00"
29;2005;1;1;5;29;2005;1;1;5;29;"2005-01-29 00:00:00"
30;2005;1;1;6;30;2005;1;1;6;30;"2005-01-30 00:00:00"
31;2005;1;1;6;31;2005;1;1;6;31;"2005-01-31 00:00:00"
32;2005;1;2;6;1;2005;1;2;6;1;"2005-02-01 00:00:00"
33;2005;1;2;6;2;2005;1;2;6;2;"2005-02-02 00:00:00"
34;2005;1;2;6;3;2005;1;2;6;3;"2005-02-03 00:00:00"
35;2005;1;2;6;4;2005;1;2;6;4;"2005-02-04 00:00:00"
36;2005;1;2;6;5;2005;1;2;6;5;"2005-02-05 00:00:00"
37;2005;1;2;7;6;2005;1;2;7;6;"2005-02-06 00:00:00"
38;2005;1;2;7;7;2005;1;2;7;7;"2005-02-07 00:00:00"
39;2005;1;2;7;8;2005;1;2;7;8;"2005-02-08 00:00:00"
40;2005;1;2;7;9;2005;1;2;7;9;"2005-02-09 00:00:00"
41;2005;1;2;7;10;2005;1;2;7;10;"2005-02-10 00:00:00"
42;2005;1;2;7;11;2005;1;2;7;11;"2005-02-11 00:00:00"
43;2005;1;2;7;12;2005;1;2;7;12;"2005-02-12 00:00:00"
44;2005;1;2;8;13;2005;1;2;8;13;"2005-02-13 00:00:00"
45;2005;1;2;8;14;2005;1;2;8;14;"2005-02-14 00:00:00"
46;2005;1;2;8;15;2005;1;2;8;15;"2005-02-15 00:00:00"
47;2005;1;2;8;16;2005;1;2;8;16;"2005-02-16 00:00:00"
48;2005;1;2;8;17;2005;1;2;8;17;"2005-02-17 00:00:00"
49;2005;1;2;8;18;2005;1;2;8;18;"2005-02-18 00:00:00"
50;2005;1;2;8;19;2005;1;2;8;19;"2005-02-19 00:00:00"
51;2005;1;2;9;20;2005;1;2;9;20;"2005-02-20 00:00:00"
52;2005;1;2;9;21;2005;1;2;9;21;"2005-02-21 00:00:00"
53;2005;1;2;9;22;2005;1;2;9;22;"2005-02-22 00:00:00"
54;2005;1;2;9;23;2005;1;2;9;23;"2005-02-23 00:00:00"
55;2005;1;2;9;24;2005;1;2;9;24;"2005-02-24 00:00:00"
56;2005;1;2;9;25;2005;1;2;9;25;"2005-02-25 00:00:00"
57;2005;1;2;9;26;2005;1;2;9;26;"2005-02-26 00:00:00"
58;2005;1;2;10;27;2005;1;2;10;27;"2005-02-27 00:00:00"
59;2005;1;2;10;28;2005;1;2;10;28;"2005-02-28 00:00:00"
60;2005;1;3;10;1;2005;1;3;10;1;"2005-03-01 00:00:00"
61;2005;1;3;10;2;2005;1;3;10;2;"2005-03-02 00:00:00"
62;2005;1;3;10;3;2005;1;3;10;3;"2005-03-03 00:00:00"
63;2005;1;3;10;4;2005;1;3;10;4;"2005-03-04 00:00:00"
64;2005;1;3;10;5;2005;1;3;10;5;"2005-03-05 00:00:00"
