Total_Cost,Quantity_purchased,Product_Description,Supplier_Name
104199294.87,2078,"Concentrators Polishing Equipment",PEC
97455962.92,2041,"Escape Manufacturing Equip",PEC
96499650.97,2036,"Defeated Tray Supplies","TPC West"
88416090.97,2033,"Duplicator Polishing Equipment",PEC
86743054.62,2067,"Tailor Jacks","TPC West"
86658461.91,2061,"Bellowing Polishing Equipment",PEC
86000714.71,2041,"Denigrating Polishing Equipment",PEC
79261325.14,2059,"Commendation Fillers","TPC West"
78775734.07,2096,"Habitually Manufacturing Equip",PEC
76121877.50,2109,"Bomber Photo Equipment",PEC
73080630.58,2140,"Coward Covers","TPC East"
72212547.81,2117,"Suing Manufacturing Equip",PEC
70001597.92,2071,"Miniaturizing Manufacturing Equip",PEC
69886690.33,2052,"Chromium Photo Equipment",PEC
66997720.34,2148,"Vastest Photo Equipment",PEC
66736062.60,2092,"Pervasively Manufacturing Equip",PEC
66247908.90,2148,"Chartable Photo Equipment",PEC
60790812.04,2090,"Sulkiness Covers","TPC East"
53711780.76,2125,"Loaves Polishing Equipment",PEC
53239096.32,2078,"Millimeters Flushing Chemicals","TPC East"
51768672.09,2085,"Sailors Manufacturing Equip",PEC
51392600.22,1973,"Planetesimal Manufacturing Equip",PEC
49104439.35,1984,"Bandage Manufacturing Equip",PEC
48747835.46,2062,"Travelings Photo Chemicals","TPC West"
47683399.68,2085,"Septembers Manufacturing Equip",PEC
46368497.77,2058,"Chalmers Polishing Equipment",PEC
46181011.01,2100,"Sortie Covers","TPC East"
46031671.96,2041,"Automobiles Fillers","TPC East"
45362946.03,2090,"Subclasses Polishing Equipment",PEC
43313568.64,2113,"Simulations Photo Equipment",PEC
42778049.76,1991,"Embodying Cleaning Supplies","TPC West"
38116555.46,2028,"Courthouses Manufacturing Equip",PEC
36628768.33,2075,"Flake Photo Equipment",PEC
34238187.62,2164,"Weeks Polishing Equipment",PEC
26989794.05,2058,"Syntax Polishing Equipment",PEC
25841799.60,2097,"Insensitivity Manufacturing Equip",PEC
24704881.51,2114,"Allis Polishing Equipment",PEC
24036798.20,2053,"Birthdays Manufacturing Equip",PEC
23682293.67,1891,"Enumerator Polishing Equipment",PEC
20305307.31,1996,"Disallow Manufacturing Equip",PEC
18177966.05,2021,"Palm Polishing Equipment",PEC
16024287.45,2090,"Occlusion Manufacturing Equip",PEC
13857331.07,2060,"Extinguisher Manufacturing Equip",PEC
NULL,2,,NULL
NULL,1990,"Enumerator Polishing Equipment","American General Ventures Inc."
NULL,1933,"Tailor Jacks","Black Hills Corp."
NULL,1849,"Sortie Covers","Fedders Corp."
NULL,1935,"Embodying Cleaning Supplies","Immunex Corp."
NULL,2067,"Automobiles Fillers","American General Ventures Inc."
NULL,1951,"Planetesimal Manufacturing Equipment","First Bancshares Inc. Mo"
NULL,1962,"Commendation Fillers","Fedders Corp."
NULL,1992,"Septembers Manufacturing Equipment","Fedders Corp."
NULL,1999,"Millimeters Flushing Chemicals","Afg Industries Inc."
NULL,1973,"Defeated Tray Supplies","American General Ventures Inc."
NULL,1973,"Sulkiness Covers","Dollar General Corp."
NULL,2059,"Travelings Photo Chemicals","American General Ventures Inc."
NULL,2030,"Coward Covers","Fedders Corp."
NULL,1966,"Engle Photo Chemicals","Black Hills Corp."
NULL,1990,"Disposed Fillers","Fedders Corp."
NULL,1970,"Enhanced Covers","Dollar General Corp."
NULL,2014,"Optima Cleaning Supplies","American General Ventures Inc."
