Total_Sales,Total_Costs,Total_Profits,Calendar_Month,Calendar_Year
0.00,NULL,0.00,NULL,NULL
95136518.99,33487666.47,17682441.04,1,2005
83143769.70,29944250.80,15711655.72,2,2005
98976282.21,35572101.90,18640252.33,3,2005
90868684.13,32673814.14,17125656.78,4,2005
93544594.17,32830642.71,17473978.00,5,2005
92843410.13,33665437.20,17276795.38,6,2005
93575915.04,34519123.29,17155785.81,7,2005
93673824.72,33985650.61,17606424.07,8,2005
92825894.74,32259472.65,17565014.24,9,2005
90739544.19,32336349.36,17114899.54,10,2005
91151076.56,31994575.07,17095951.13,11,2005
95158427.52,33918289.63,17667590.72,12,2005
95498322.42,33519689.54,17781968.36,1,2006
86383353.68,31799551.14,16266549.84,2,2006
91493872.90,33617700.82,17091092.26,3,2006
90209867.14,32480167.54,17019942.28,4,2006
97542343.20,34242582.77,18250985.67,5,2006
95733206.64,34311814.85,17868560.84,6,2006
92949654.14,33658524.35,17377691.59,7,2006
95448434.21,33316765.28,17991416.38,8,2006
93622907.04,33137200.06,17496566.42,9,2006
96308557.46,35835470.56,18004495.43,10,2006
90379705.56,33112111.76,16669707.15,11,2006
96623612.72,35139298.25,18392071.78,12,2006
97915587.96,35805468.11,18043825.63,1,2007
89335596.52,33452913.85,16395789.90,2,2007
94001091.28,34507605.24,17386096.49,3,2007
92442361.14,32147136.52,17080745.26,4,2007
96051572.61,35830419.11,17857385.43,5,2007
93805054.52,34056328.16,17806390.00,6,2007
95303324.11,34992743.76,17476034.91,7,2007
97921368.00,34049868.90,18066009.60,8,2007
92680523.52,33745405.86,17337451.45,9,2007
93954249.74,33656125.37,17593014.65,10,2007
90594816.04,33355213.34,16704203.02,11,2007
94981701.13,32923087.95,17968066.05,12,2007
94304794.86,32752825.42,18104949.34,1,2008
91133880.17,33399438.37,16828991.29,2,2008
94754905.82,35096817.92,17838477.97,3,2008
93441336.19,34782798.58,17257385.74,4,2008
98139812.74,34668582.03,18489722.97,5,2008
92795367.14,34285025.20,17335760.23,6,2008
91632360.02,33447273.30,17072881.45,7,2008
95930399.60,33493632.37,17736079.87,8,2008
90482064.59,30736577.65,17237895.98,9,2008
97513509.17,36120882.77,17970961.61,10,2008
93164135.86,33130337.79,17413234.79,11,2008
96799490.75,35202261.12,18409111.49,12,2008
92983631.52,34026687.43,17247973.38,1,2009
84270695.35,30407804.53,15906603.91,2,2009
97114555.94,36152251.49,17800490.95,3,2009
89980675.07,32414412.52,16770533.60,4,2009
96296394.82,34018835.11,18246941.82,5,2009
91792418.85,31934204.21,17342195.80,6,2009
95011811.52,34289606.73,17594132.39,7,2009
97532944.99,32963092.84,18353786.99,8,2009
92403657.35,34917267.44,17345346.73,9,2009
93170667.86,32518991.72,17381513.97,10,2009
93096351.22,30282969.86,18038471.67,11,2009
93351641.22,35133211.15,17351601.92,12,2009
98410961.64,36592641.79,18540469.17,1,2010
82216726.12,29098087.12,15511418.06,2,2010
94247678.33,35225665.13,17701133.97,3,2010
91707269.46,34099135.12,17042803.58,4,2010
93418495.52,34256407.66,17203347.32,5,2010
89832499.62,32995276.47,16819016.43,6,2010
94900090.32,34610861.97,17847187.78,7,2010
96594026.82,35892041.83,17812994.75,8,2010
92356969.91,32586231.07,17100678.28,9,2010
93402930.68,32960974.94,17212221.29,10,2010
5095823.18,NULL,1001699.07,11,2010
4737716.31,NULL,918929.67,12,2010
5051996.07,NULL,977346.03,1,2011
3803935.54,NULL,741094.62,2,2011
4838281.93,NULL,942982.68,3,2011
4809161.28,NULL,939675.23,4,2011
4792070.64,NULL,933999.17,5,2011
4253743.59,NULL,833939.19,6,2011
4942441.82,NULL,964442.29,7,2011
4661688.16,NULL,912315.06,8,2011
5329205.63,NULL,1039171.99,9,2011
4517561.88,NULL,880925.49,10,2011
289.41,NULL,77.65,8,5372
